area,file,host,database,note
backend,add-clients.php,db5018266079.hosting-data.io,dbs14484433,
backend,add-session.php,db5018266079.hosting-data.io,dbs14484433,
backend,add-session-with-invite.php,db5018266079.hosting-data.io,dbs14484433,
backend,behavior_helpers.php,,,unknown
backend,behaviors.php,db5018266079.hosting-data.io,dbs14484433,
backend,bootstrap.php,,,includes_config
backend,check-drive-status.php,db5018266079.hosting-data.io,dbs14484433,
backend,check-drive-status-simple.php,,,uses_getDBConnection
backend,claims-cms1500-preview.php,,,uses_getDBConnection
backend,client_auth_units_helpers.php,,,unknown
backend,client-behaviors.php,db5018266079.hosting-data.io,dbs14484433,
backend,client-domain.php,db5018266079.hosting-data.io,dbs14484433,
backend,client-modules.php,db5018266079.hosting-data.io,dbs14484433,
backend,client-program-detail.php,db5018266079.hosting-data.io,dbs14484433,
backend,client-programs.php,db5018266079.hosting-data.io,dbs14484433,
backend,clients-modules-backup.php,db5018266079.hosting-data.io,dbs14484433,
backend,client-target-detail.php,db5018266079.hosting-data.io,dbs14484433,
backend,client-target.php,db5018266079.hosting-data.io,dbs14484433,
backend,create-wrapper.php,,,unknown
backend,dashboard-stats.php,db5018266079.hosting-data.io,dbs14484433,
backend,diagnosis-codes.php,,,includes_config
backend,document-types.php,,,includes_config
backend,download-client-document.php,,,includes_config
backend,download-client-upload.php,,,includes_config
backend,drive_oauth_callback.php,,,uses_getDBConnection
backend,drive_oauth_start.php,,,includes_config
backend,facility-types.php,,,includes_config
backend,get-all.php,db5018266079.hosting-data.io,dbs14484433,
backend,get-clients-old.php,db5018266079.hosting-data.io,dbs14484433,
backend,get-clients.php,db5018266079.hosting-data.io,dbs14484433,
backend,get-sessions.php,,,includes_config
backend,get-users.php,db5018266079.hosting-data.io,dbs14484433,
backend,locations.php,,,includes_config
backend,login.php,db5018266079.hosting-data.io,dbs14484433,
backend,logout.php,,,uses_getDBConnection
backend,me-permissions.php,,,includes_config
backend,oauth-debug.php,,,includes_config
backend,payer-payment-entries.php,db5018266079.hosting-data.io,,
backend,programs-dev.php,db5018266079.hosting-data.io,dbs14484433,
backend,programs.php,db5018266079.hosting-data.io,dbs14484433,
backend,provider-service-codes.php,,,includes_config
backend,providers.php,,,includes_config
backend,rbac-catalog.php,,,uses_getDBConnection
backend,rbac-matrix.php,,,uses_getDBConnection
backend,rbac-save-role.php,,,uses_getDBConnection
backend,reports-old.php,db5018266079.hosting-data.io,dbs14484433,
backend,reports.php,db5018266079.hosting-data.io,dbs14484433,
backend,reset-password-with-otp.php,,,unknown
backend,send-otp.php,db5018266079.hosting-data.io,dbs14484433,
backend,service-codes.php,,,includes_config
backend,session-notes.php,db5018266079.hosting-data.io,dbs14484433,
backend,sso_login.php,{$host},{$dbname},env
backend,staff-backup.php,,,includes_config
backend,staff.php,,,includes_config
backend,test.php,,,unknown
backend,test-simple.php,,,unknown
backend,treatment-types.php,,,includes_config
backend,update-clients.php,db5018266079.hosting-data.io,dbs14484433,
backend,update-users.php,db5018266079.hosting-data.io,dbs14484433,
backend,upload-client-document.php,db5018266079.hosting-data.io,dbs14484433,
backend,upload-staff-document.php,,,includes_config
backend,verify-otp.php,db5018266079.hosting-data.io,dbs14484433,
backend,verify.php,,,includes_config
backend,view-client-document.php,,,includes_config
backend,view-client-upload.php,,,includes_config
backend-test,add-clients.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,add-session.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,add-session-with-invite.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,behavior_helpers.php,,,unknown
backend-test,behaviors.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,bootstrap.php,,,includes_config
backend-test,check-drive-status.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,check-drive-status-simple.php,,,uses_getDBConnection
backend-test,claims-cms1500-preview.php,,,uses_getDBConnection
backend-test,client_auth_units_helpers.php,,,unknown
backend-test,client-behaviors.php,db5018419668.hosting-data.io,dbs14649042,
backend-test,client-domain.php,db5018419668.hosting-data.io,dbs14649042,
